dataset,program,size,gamma,c,performance
ChemReactCritique,class,1242,0.0001,0.001,0.6041805497898576
ChemReactCritique,class,1242,0.001,0.001,0.5980450621566052
ChemReactCritique,class,1242,0.01,0.001,0.4129630858550791
ChemReactCritique,class,1242,0.1,0.001,0.059595292785238306
ChemReactCritique,class,1242,2.2274195344693174e-05,0.01,0.6204279167236726
ChemReactCritique,class,1242,1e-07,0.01,0.5587136775675139
ChemReactCritique,class,1242,1e-06,0.01,0.5587136775675139
ChemReactCritique,class,1242,1e-05,0.01,0.6021911168414086
ChemReactCritique,class,1242,0.0001,0.01,0.6146700590733054
ChemReactCritique,class,1242,0.001,0.01,0.6007736276213961
ChemReactCritique,class,1242,0.01,0.01,0.41457434882248373
ChemReactCritique,class,1242,0.1,0.01,0.059595292785238306
ChemReactCritique,class,1242,2.2274195344693174e-05,0.1,0.61529586784929
ChemReactCritique,class,1242,1e-07,0.1,0.5587136775675139
ChemReactCritique,class,1242,1e-06,0.1,0.602084202226019
ChemReactCritique,class,1242,1e-05,0.1,0.6170833407079669
ChemReactCritique,class,1242,0.0001,0.1,0.6162712855653694
ChemReactCritique,class,1242,0.001,0.1,0.6034127405527392
ChemReactCritique,class,1242,0.01,0.1,0.4418518592858642
ChemReactCritique,class,1242,0.1,0.1,0.059595292785238306
ChemReactCritique,class,1242,2.2274195344693174e-05,1.0,0.6157944617549751
ChemReactCritique,class,1242,1e-07,1.0,0.6028248030472348
ChemReactCritique,class,1242,1e-06,1.0,0.6152781267936075
ChemReactCritique,class,1242,1e-05,1.0,0.6168655333922825
ChemReactCritique,class,1242,0.0001,1.0,0.6288988426829092
ChemReactCritique,class,1242,0.001,1.0,0.6674341698250015
ChemReactCritique,class,1242,0.01,1.0,0.5193050764467186
ChemReactCritique,class,1242,0.1,1.0,0.053554855182757
ChemReactCritique,class,1242,2.2274195344693174e-05,10.0,0.6762636768321929
ChemReactCritique,class,1242,1e-07,10.0,0.6160981381787521
ChemReactCritique,class,1242,1e-06,10.0,0.6176820293874737
ChemReactCritique,class,1242,1e-05,10.0,0.6360376931635584
ChemReactCritique,class,1242,0.0001,10.0,0.6868776795423396
ChemReactCritique,class,1242,0.001,10.0,0.6617418503639599
ChemReactCritique,class,1242,0.01,10.0,0.513357638481472
ChemReactCritique,class,1242,0.1,10.0,0.053554855182757
ChemReactCritique,class,1242,2.2274195344693174e-05,100.0,0.6707247602121797
ChemReactCritique,class,1242,1e-07,100.0,0.6152779848734816
ChemReactCritique,class,1242,1e-06,100.0,0.6393736295296213
ChemReactCritique,class,1242,1e-05,100.0,0.6895927055405698
ChemReactCritique,class,1242,0.0001,100.0,0.6611849531225422
ChemReactCritique,class,1242,0.001,100.0,0.6630721763545145
ChemReactCritique,class,1242,0.01,100.0,0.513357638481472
ChemReactCritique,class,1242,0.1,100.0,0.053554855182757
ChemReactCritique,class,1242,2.2274195344693174e-05,1000.0,0.6467093530565511
ChemReactCritique,class,1242,1e-07,1000.0,0.6390913305396186
ChemReactCritique,class,1242,1e-06,1000.0,0.6895927055405698
ChemReactCritique,class,1242,1e-05,1000.0,0.6562896671096989
ChemReactCritique,class,1242,0.0001,1000.0,0.6497875619124066
ChemReactCritique,class,1242,0.001,1000.0,0.6630721763545145
ChemReactCritique,class,1242,0.01,1000.0,0.513357638481472
ChemReactCritique,class,1242,0.1,1000.0,0.053554855182757
Chloroplast,class,1276,2.7375509868871307e-05,0.001,0.798746165930352
Chloroplast,class,1276,1e-07,0.001,0.7998255028686992
Chloroplast,class,1276,1e-06,0.001,0.7993919796970705
Chloroplast,class,1276,1e-05,0.001,0.798961416908389
Chloroplast,class,1276,0.0001,0.001,0.798120440013766
Chloroplast,class,1276,0.001,0.001,0.7790472854248524
Chloroplast,class,1276,0.01,0.001,0.5549164239016485
Chloroplast,class,1276,0.1,0.001,0.2456898859881989
Chloroplast,class,1276,2.7375509868871307e-05,0.01,0.798746165930352
Chloroplast,class,1276,1e-07,0.01,0.7998255028686992
Chloroplast,class,1276,1e-06,0.01,0.7993919796970705
Chloroplast,class,1276,1e-05,0.01,0.798961416908389
Chloroplast,class,1276,0.0001,0.01,0.798120440013766
Chloroplast,class,1276,0.001,0.01,0.7819553384099915
Chloroplast,class,1276,0.01,0.01,0.5550738341096222
Chloroplast,class,1276,0.1,0.01,0.24735687812287166
Chloroplast,class,1276,2.7375509868871307e-05,0.1,0.798746165930352
Chloroplast,class,1276,1e-07,0.1,0.7998255028686992
Chloroplast,class,1276,1e-06,0.1,0.7993919796970705
Chloroplast,class,1276,1e-05,0.1,0.798961416908389
Chloroplast,class,1276,0.0001,0.1,0.7979865389029993
Chloroplast,class,1276,0.001,0.1,0.8282890373528152
Chloroplast,class,1276,0.01,0.1,0.636248065640728
Chloroplast,class,1276,0.1,0.1,0.24735687812287166
Chloroplast,class,1276,2.7375509868871307e-05,1.0,0.8149538920242753
Chloroplast,class,1276,1e-07,1.0,0.7998255028686992
Chloroplast,class,1276,1e-06,1.0,0.7993919796970705
Chloroplast,class,1276,1e-05,1.0,0.7999999760827617
Chloroplast,class,1276,0.0001,1.0,0.8459679109785271
Chloroplast,class,1276,0.001,1.0,0.8733032327102558
Chloroplast,class,1276,0.01,1.0,0.6241161851948404
Chloroplast,class,1276,0.1,1.0,0.25365956127924305
Chloroplast,class,1276,2.7375509868871307e-05,10.0,0.8606384085892566
Chloroplast,class,1276,1e-07,10.0,0.7998255028686992
Chloroplast,class,1276,1e-06,10.0,0.8000613339245208
Chloroplast,class,1276,1e-05,10.0,0.8468541097845319
Chloroplast,class,1276,0.0001,10.0,0.8727192707580785
Chloroplast,class,1276,0.001,10.0,0.8753405493253583
Chloroplast,class,1276,0.01,10.0,0.6010816263803431
Chloroplast,class,1276,0.1,10.0,0.25236220376740354
Chloroplast,class,1276,2.7375509868871307e-05,100.0,0.8727685685915113
Chloroplast,class,1276,1e-07,100.0,0.8000613339245208
Chloroplast,class,1276,1e-06,100.0,0.8472509994816592
Chloroplast,class,1276,1e-05,100.0,0.8701291130319523
Chloroplast,class,1276,0.0001,100.0,0.8559018238496542
Chloroplast,class,1276,0.001,100.0,0.8738092483353331
Chloroplast,class,1276,0.01,100.0,0.6010816263803431
Chloroplast,class,1276,0.1,100.0,0.25236220376740354
